0.00,84
0.04,81
0.08,81
0.13,84
0.17,84
0.21,84
0.25,84
0.29,85
0.33,85
0.38,85
0.42,84
0.46,83
0.50,84
0.54,86
0.58,86
0.63,85
0.67,85
0.71,86
0.75,88
0.79,87
0.83,86
0.88,86
0.92,87
0.96,88
0.00,88
0.04,87
0.08,87
0.13,89
0.17,89
0.21,89
0.25,88
0.29,90
0.33,86
0.38,88
0.42,87
0.46,89
0.50,90
0.54,90
0.58,89
0.63,90
0.67,92
0.71,91
0.75,90
0.79,89
0.83,87
0.88,86
0.92,88
0.96,89
0.00,79
0.04,82
0.08,87
0.13,89
0.17,89
0.21,89
0.25,86
0.29,86
0.33,85
0.38,83
0.42,86
0.46,86
0.50,84
0.54,83
0.58,84
0.63,88
0.67,90
0.71,88
0.75,88
0.79,88
0.83,84
0.88,84
0.92,84
0.96,80
0.00,77
0.04,77
0.08,84
0.13,84
0.17,86
0.21,86
0.25,85
0.29,84
0.33,81
0.38,82
0.42,84
0.46,82
0.50,81
0.54,79
0.58,81
0.63,83
0.67,82
0.71,78
0.75,72
0.79,73
0.83,76
0.88,77
0.92,77
0.96,80
0.00,80
0.04,79
0.08,80
0.13,86
0.17,79
0.21,78
0.25,79
0.29,76
